iter	Passed	Remaining
897	1107	125
898	1108	124
899	1109	123
900	1110	122
901	1111	120
902	1112	119
903	1113	118
904	1114	117
905	1115	115
906	1116	114
907	1117	113
908	1118	111
909	1119	110
910	1120	109
911	1121	108
912	1122	106
913	1123	105
914	1124	104
915	1125	103
916	1126	101
917	1127	100
918	1128	99
919	1129	98
920	1130	96
921	1131	95
922	1132	94
923	1133	93
924	1134	91
925	1135	90
926	1136	89
927	1137	88
928	1138	87
929	1139	85
930	1140	84
931	1141	83
932	1142	82
933	1143	80
934	1145	79
935	1146	78
936	1146	77
937	1147	75
938	1148	74
939	1149	73
940	1150	72
941	1151	70
942	1152	69
943	1153	68
944	1154	67
945	1155	65
946	1156	64
947	1158	63
948	1159	62
949	1160	61
950	1161	59
951	1162	58
952	1163	57
953	1164	56
954	1165	54
955	1166	53
956	1167	52
957	1168	51
958	1169	49
959	1170	48
960	1171	47
961	1172	46
962	1173	45
963	1174	43
964	1175	42
965	1176	41
966	1177	40
967	1178	38
968	1178	37
969	1179	36
970	1180	35
971	1181	34
972	1182	32
973	1183	31
974	1184	30
975	1185	29
976	1187	27
977	1188	26
978	1189	25
979	1190	24
980	1191	23
981	1192	21
982	1193	20
983	1194	19
984	1195	18
985	1196	16
986	1197	15
987	1198	14
988	1198	13
989	1199	12
990	1200	10
991	1202	9
992	1203	8
993	1204	7
994	1205	6
995	1206	4
996	1208	3
997	1209	2
998	1210	1
999	1211	0
